color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 0, 128)","(1, 0, 128)","(0, 6, 124)","(0, 6, 124)",1.0,0.0
"(0, 0, 129)","(1, 0, 129)","(0, 6, 125)","(0, 6, 125)",1.0,0.0
"(0, 0, 130)","(1, 0, 130)","(0, 6, 126)","(0, 6, 126)",1.0,0.0
"(0, 0, 131)","(1, 0, 131)","(0, 6, 127)","(0, 6, 127)",1.0,0.0
"(0, 0, 138)","(1, 0, 138)","(0, 7, 134)","(0, 7, 134)",1.0,0.0
"(0, 0, 138)","(2, 0, 138)","(0, 7, 134)","(0, 7, 134)",2.0,0.0
"(0, 0, 138)","(3, 0, 138)","(0, 7, 134)","(0, 7, 134)",3.0,0.0
"(0, 0, 139)","(1, 0, 139)","(0, 7, 135)","(0, 7, 135)",1.0,0.0
"(0, 0, 139)","(2, 0, 139)","(0, 7, 135)","(0, 7, 135)",2.0,0.0
"(0, 0, 139)","(3, 0, 139)","(0, 7, 135)","(0, 7, 135)",3.0,0.0
"(0, 0, 140)","(1, 0, 140)","(0, 7, 136)","(0, 7, 136)",1.0,0.0
"(0, 0, 140)","(2, 0, 140)","(0, 7, 136)","(0, 7, 136)",2.0,0.0
"(0, 0, 140)","(3, 0, 140)","(0, 7, 136)","(0, 7, 136)",3.0,0.0
"(0, 0, 141)","(1, 0, 141)","(0, 7, 137)","(0, 7, 137)",1.0,0.0
"(0, 0, 141)","(2, 0, 141)","(0, 7, 137)","(0, 7, 137)",2.0,0.0
"(0, 0, 142)","(1, 0, 142)","(0, 7, 138)","(0, 7, 138)",1.0,0.0
"(0, 0, 142)","(2, 0, 142)","(0, 7, 138)","(0, 7, 138)",2.0,0.0
"(0, 0, 143)","(1, 0, 143)","(0, 7, 139)","(0, 7, 139)",1.0,0.0
"(0, 0, 143)","(2, 0, 143)","(0, 7, 139)","(0, 7, 139)",2.0,0.0
"(0, 0, 143)","(2, 0, 144)","(0, 7, 139)","(0, 7, 139)",2.2360679775,0.0
"(0, 0, 144)","(0, 0, 145)","(0, 7, 140)","(0, 7, 140)",1.0,0.0
"(0, 0, 144)","(1, 0, 144)","(0, 7, 140)","(0, 7, 140)",1.0,0.0
"(0, 0, 144)","(1, 0, 145)","(0, 7, 140)","(0, 7, 140)",1.41421356237,0.0
"(0, 0, 144)","(2, 0, 145)","(0, 7, 140)","(0, 7, 140)",2.2360679775,0.0
"(0, 0, 145)","(0, 0, 144)","(0, 7, 140)","(0, 7, 140)",1.0,0.0
"(0, 0, 145)","(1, 0, 144)","(0, 7, 140)","(0, 7, 140)",1.41421356237,0.0
"(0, 0, 145)","(1, 0, 145)","(0, 7, 140)","(0, 7, 140)",1.0,0.0
"(0, 0, 145)","(2, 0, 145)","(0, 7, 140)","(0, 7, 140)",2.0,0.0
"(0, 0, 146)","(1, 0, 146)","(0, 7, 141)","(0, 7, 141)",1.0,0.0
"(0, 0, 146)","(2, 0, 146)","(0, 7, 141)","(0, 7, 141)",2.0,0.0
"(0, 0, 147)","(1, 0, 147)","(0, 7, 142)","(0, 7, 142)",1.0,0.0
"(0, 0, 148)","(1, 0, 148)","(0, 7, 143)","(0, 7, 143)",1.0,0.0
"(0, 0, 149)","(1, 0, 149)","(0, 7, 144)","(0, 7, 144)",1.0,0.0
"(0, 0, 150)","(1, 0, 150)","(0, 7, 145)","(0, 7, 145)",1.0,0.0
"(0, 0, 151)","(1, 0, 151)","(0, 7, 146)","(0, 7, 146)",1.0,0.0
"(0, 0, 152)","(1, 0, 152)","(0, 7, 147)","(0, 7, 147)",1.0,0.0
"(0, 0, 159)","(1, 0, 159)","(0, 8, 154)","(0, 8, 154)",1.0,0.0
"(0, 0, 159)","(2, 0, 159)","(0, 8, 154)","(0, 8, 154)",2.0,0.0
"(0, 0, 159)","(3, 0, 159)","(0, 8, 154)","(0, 8, 154)",3.0,0.0
"(0, 0, 160)","(1, 0, 160)","(0, 8, 155)","(0, 8, 155)",1.0,0.0
"(0, 0, 160)","(2, 0, 160)","(0, 8, 155)","(0, 8, 155)",2.0,0.0
"(0, 0, 160)","(3, 0, 160)","(0, 8, 155)","(0, 8, 155)",3.0,0.0
"(0, 0, 161)","(1, 0, 161)","(0, 8, 156)","(0, 8, 156)",1.0,0.0
"(0, 0, 161)","(2, 0, 161)","(0, 8, 156)","(0, 8, 156)",2.0,0.0
"(0, 0, 161)","(3, 0, 161)","(0, 8, 156)","(0, 8, 156)",3.0,0.0
"(0, 0, 162)","(1, 0, 162)","(0, 8, 157)","(0, 8, 157)",1.0,0.0
"(0, 0, 162)","(2, 0, 162)","(0, 8, 157)","(0, 8, 157)",2.0,0.0
"(0, 0, 163)","(1, 0, 163)","(0, 8, 158)","(0, 8, 158)",1.0,0.0
"(0, 0, 163)","(2, 0, 163)","(0, 8, 158)","(0, 8, 158)",2.0,0.0
"(0, 0, 164)","(1, 0, 164)","(0, 8, 159)","(0, 8, 159)",1.0,0.0
"(0, 0, 164)","(2, 0, 164)","(0, 8, 159)","(0, 8, 159)",2.0,0.0
"(0, 0, 165)","(1, 0, 165)","(0, 8, 160)","(0, 8, 160)",1.0,0.0
"(0, 0, 165)","(2, 0, 165)","(0, 8, 160)","(0, 8, 160)",2.0,0.0
"(0, 0, 166)","(1, 0, 166)","(0, 8, 161)","(0, 8, 161)",1.0,0.0
"(0, 0, 166)","(2, 0, 166)","(0, 8, 161)","(0, 8, 161)",2.0,0.0
"(0, 0, 167)","(1, 0, 167)","(0, 8, 162)","(0, 8, 162)",1.0,0.0
"(0, 0, 167)","(2, 0, 167)","(0, 8, 162)","(0, 8, 162)",2.0,0.0
"(0, 0, 168)","(1, 0, 168)","(0, 8, 163)","(0, 8, 163)",1.0,0.0
"(0, 0, 169)","(1, 0, 169)","(0, 8, 164)","(0, 8, 164)",1.0,0.0
"(0, 0, 170)","(1, 0, 170)","(0, 8, 165)","(0, 8, 165)",1.0,0.0
"(0, 0, 171)","(1, 0, 171)","(0, 8, 166)","(0, 8, 166)",1.0,0.0
"(0, 0, 172)","(1, 0, 172)","(0, 8, 167)","(0, 8, 167)",1.0,0.0
"(0, 0, 173)","(1, 0, 173)","(0, 8, 168)","(0, 8, 168)",1.0,0.0
"(0, 0, 176)","(0, 0, 177)","(0, 8, 171)","(0, 8, 171)",1.0,0.0
"(0, 0, 177)","(0, 0, 176)","(0, 8, 171)","(0, 8, 171)",1.0,0.0
"(0, 0, 180)","(1, 0, 180)","(0, 9, 174)","(0, 9, 174)",1.0,0.0
"(0, 0, 180)","(2, 0, 180)","(0, 9, 174)","(0, 9, 174)",2.0,0.0
"(0, 0, 180)","(3, 0, 180)","(0, 9, 174)","(0, 9, 174)",3.0,0.0
"(0, 0, 181)","(1, 0, 181)","(0, 9, 175)","(0, 9, 175)",1.0,0.0
"(0, 0, 181)","(2, 0, 181)","(0, 9, 175)","(0, 9, 175)",2.0,0.0
"(0, 0, 181)","(3, 0, 181)","(0, 9, 175)","(0, 9, 175)",3.0,0.0
"(0, 0, 182)","(1, 0, 182)","(0, 9, 176)","(0, 9, 176)",1.0,0.0
"(0, 0, 182)","(2, 0, 182)","(0, 9, 176)","(0, 9, 176)",2.0,0.0
"(0, 0, 182)","(3, 0, 182)","(0, 9, 176)","(0, 9, 176)",3.0,0.0
"(0, 0, 183)","(1, 0, 183)","(0, 9, 177)","(0, 9, 177)",1.0,0.0
"(0, 0, 183)","(2, 0, 183)","(0, 9, 177)","(0, 9, 177)",2.0,0.0
"(0, 0, 184)","(1, 0, 184)","(0, 9, 178)","(0, 9, 178)",1.0,0.0
"(0, 0, 184)","(2, 0, 184)","(0, 9, 178)","(0, 9, 178)",2.0,0.0
"(0, 0, 185)","(1, 0, 185)","(0, 9, 179)","(0, 9, 179)",1.0,0.0
"(0, 0, 185)","(2, 0, 185)","(0, 9, 179)","(0, 9, 179)",2.0,0.0
"(0, 0, 186)","(1, 0, 186)","(0, 9, 180)","(0, 9, 180)",1.0,0.0
"(0, 0, 186)","(2, 0, 186)","(0, 9, 180)","(0, 9, 180)",2.0,0.0
"(0, 0, 187)","(1, 0, 187)","(0, 9, 181)","(0, 9, 181)",1.0,0.0
"(0, 0, 187)","(2, 0, 187)","(0, 9, 181)","(0, 9, 181)",2.0,0.0
"(0, 0, 188)","(1, 0, 188)","(0, 9, 182)","(0, 9, 182)",1.0,0.0
"(0, 0, 188)","(2, 0, 188)","(0, 9, 182)","(0, 9, 182)",2.0,0.0
"(0, 0, 189)","(1, 0, 189)","(0, 9, 183)","(0, 9, 183)",1.0,0.0
"(0, 0, 190)","(1, 0, 190)","(0, 9, 184)","(0, 9, 184)",1.0,0.0
"(0, 0, 191)","(1, 0, 191)","(0, 9, 185)","(0, 9, 185)",1.0,0.0
"(0, 0, 192)","(1, 0, 192)","(0, 9, 186)","(0, 9, 186)",1.0,0.0
"(0, 0, 193)","(1, 0, 193)","(0, 9, 187)","(0, 9, 187)",1.0,0.0
"(0, 0, 194)","(1, 0, 194)","(0, 9, 188)","(0, 9, 188)",1.0,0.0
"(0, 0, 201)","(1, 0, 201)","(0, 10, 195)","(0, 10, 195)",1.0,0.0
"(0, 0, 201)","(2, 0, 201)","(0, 10, 195)","(0, 10, 195)",2.0,0.0
"(0, 0, 201)","(3, 0, 201)","(0, 10, 195)","(0, 10, 195)",3.0,0.0
"(0, 0, 202)","(1, 0, 202)","(0, 10, 196)","(0, 10, 196)",1.0,0.0
"(0, 0, 202)","(2, 0, 202)","(0, 10, 196)","(0, 10, 196)",2.0,0.0
"(0, 0, 202)","(3, 0, 202)","(0, 10, 196)","(0, 10, 196)",3.0,0.0
"(0, 0, 203)","(1, 0, 203)","(0, 10, 197)","(0, 10, 197)",1.0,0.0
"(0, 0, 203)","(2, 0, 203)","(0, 10, 197)","(0, 10, 197)",2.0,0.0
"(0, 0, 203)","(3, 0, 203)","(0, 10, 197)","(0, 10, 197)",3.0,0.0
"(0, 0, 204)","(1, 0, 204)","(0, 10, 198)","(0, 10, 198)",1.0,0.0
"(0, 0, 204)","(2, 0, 204)","(0, 10, 198)","(0, 10, 198)",2.0,0.0
"(0, 0, 205)","(1, 0, 205)","(0, 10, 199)","(0, 10, 199)",1.0,0.0
"(0, 0, 205)","(2, 0, 205)","(0, 10, 199)","(0, 10, 199)",2.0,0.0
"(0, 0, 206)","(1, 0, 206)","(0, 10, 200)","(0, 10, 200)",1.0,0.0
