color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(128, 0, 0)","(129, 0, 0)","(47, 36, -2)","(47, 36, -2)",1.0,0.0
"(128, 1, 0)","(131, 0, 1)","(48, 37, -1)","(48, 37, -1)",3.31662479036,0.0
"(128, 1, 0)","(132, 0, 1)","(48, 37, -1)","(48, 37, -1)",4.24264068712,0.0
"(128, 2, 0)","(133, 0, 1)","(49, 37, -1)","(49, 37, -1)",5.47722557505,0.0
"(128, 3, 0)","(136, 0, 1)","(50, 38, -1)","(50, 38, -1)",8.60232526704,0.0
"(128, 3, 0)","(137, 0, 1)","(50, 38, -1)","(50, 38, -1)",9.53939201417,0.0
"(128, 4, 0)","(138, 0, 1)","(50, 39, -1)","(50, 39, -1)",10.8166538264,0.0
"(128, 5, 0)","(139, 0, 1)","(51, 39, -1)","(51, 39, -1)",12.124355653,0.0
"(128, 5, 0)","(140, 0, 1)","(51, 39, -1)","(51, 39, -1)",13.0384048104,0.0
"(128, 6, 0)","(141, 0, 1)","(52, 40, -1)","(52, 40, -1)",14.3527000944,0.0
"(128, 6, 0)","(142, 0, 1)","(52, 40, -1)","(52, 40, -1)",15.2643375225,0.0
"(128, 6, 0)","(143, 0, 1)","(52, 40, -1)","(52, 40, -1)",16.1864140562,0.0
"(128, 7, 0)","(145, 0, 1)","(53, 41, -1)","(53, 41, -1)",18.4119526395,0.0
"(128, 7, 0)","(146, 0, 1)","(53, 41, -1)","(53, 41, -1)",19.3390796058,0.0
"(128, 8, 0)","(147, 0, 1)","(54, 41, -1)","(54, 41, -1)",20.6397674406,0.0
"(128, 8, 0)","(148, 0, 1)","(54, 41, -1)","(54, 41, -1)",21.5638586528,0.0
"(128, 9, 0)","(149, 0, 1)","(55, 42, -1)","(55, 42, -1)",22.8691932521,0.0
"(128, 9, 0)","(150, 0, 1)","(55, 42, -1)","(55, 42, -1)",23.7907545067,0.0
"(128, 9, 0)","(151, 0, 1)","(55, 42, -1)","(55, 42, -1)",24.7184141886,0.0
"(128, 10, 0)","(152, 0, 1)","(56, 43, -1)","(56, 43, -1)",26.0192236625,0.0
"(128, 10, 0)","(153, 0, 1)","(56, 43, -1)","(56, 43, -1)",26.9443871706,0.0
"(128, 10, 0)","(154, 0, 1)","(56, 43, -1)","(56, 43, -1)",27.8747197295,0.0
"(128, 11, 0)","(152, 0, 1)","(56, 43, -1)","(56, 43, -1)",26.4196896272,0.0
"(128, 11, 0)","(153, 0, 1)","(56, 43, -1)","(56, 43, -1)",27.3313007374,0.0
"(128, 11, 0)","(154, 0, 1)","(56, 43, -1)","(56, 43, -1)",28.2488937837,0.0
"(128, 12, 0)","(156, 0, 1)","(57, 44, -1)","(57, 44, -1)",30.4795013083,0.0
"(128, 12, 0)","(157, 0, 1)","(57, 44, -1)","(57, 44, -1)",31.4006369362,0.0
"(128, 13, 0)","(159, 0, 1)","(58, 45, -1)","(58, 45, -1)",33.6303434416,0.0
"(128, 14, 0)","(160, 0, 1)","(59, 45, -1)","(59, 45, -1)",34.9428104193,0.0
"(128, 14, 0)","(161, 0, 1)","(59, 45, -1)","(59, 45, -1)",35.8608421541,0.0
"(128, 14, 0)","(162, 0, 1)","(59, 45, -1)","(59, 45, -1)",36.7831483155,0.0
"(128, 15, 0)","(163, 0, 1)","(60, 46, -1)","(60, 46, -1)",38.0919939095,0.0
"(128, 15, 0)","(164, 0, 1)","(60, 46, -1)","(60, 46, -1)",39.0128184063,0.0
"(128, 15, 0)","(165, 0, 1)","(60, 46, -1)","(60, 46, -1)",39.9374510954,0.0
"(128, 16, 0)","(166, 0, 1)","(61, 47, -1)","(61, 47, -1)",41.2431812546,0.0
"(128, 16, 0)","(167, 0, 1)","(61, 47, -1)","(61, 47, -1)",42.1663372846,0.0
"(128, 16, 0)","(168, 0, 1)","(61, 47, -1)","(61, 47, -1)",43.0929228528,0.0
"(128, 17, 0)","(169, 0, 1)","(62, 47, -1)","(62, 47, -1)",44.3959457608,0.0
"(128, 18, 0)","(171, 0, 1)","(63, 48, -1)","(63, 48, -1)",46.6261729075,0.0
"(128, 18, 0)","(172, 0, 1)","(63, 48, -1)","(63, 48, -1)",47.5499737119,0.0
"(128, 19, 0)","(173, 0, 1)","(63, 49, -1)","(63, 49, -1)",48.8569340012,0.0
