color1,color2,distance
"(2, 128, 0)","(0, 128, 0)",2.0
"(2, 128, 0)","(0, 129, 0)",2.2360679775
"(2, 129, 0)","(0, 129, 0)",2.0
"(2, 129, 0)","(0, 130, 0)",2.2360679775
"(2, 130, 0)","(0, 130, 0)",2.0
"(2, 130, 0)","(0, 131, 0)",2.2360679775
"(2, 131, 0)","(0, 131, 0)",2.0
"(2, 131, 0)","(0, 132, 0)",2.2360679775
"(2, 132, 0)","(0, 132, 0)",2.0
"(2, 132, 0)","(0, 133, 0)",2.2360679775
"(2, 133, 0)","(0, 133, 0)",2.0
"(2, 133, 0)","(0, 134, 0)",2.2360679775
"(2, 134, 0)","(0, 134, 0)",2.0
"(2, 134, 0)","(0, 135, 0)",2.2360679775
"(2, 135, 0)","(0, 135, 0)",2.0
"(2, 135, 0)","(0, 136, 0)",2.2360679775
"(2, 136, 0)","(0, 136, 0)",2.0
"(2, 136, 0)","(0, 137, 0)",2.2360679775
"(2, 137, 0)","(0, 137, 0)",2.0
"(2, 137, 0)","(0, 138, 0)",2.2360679775
"(2, 138, 0)","(0, 138, 0)",2.0
"(2, 138, 0)","(0, 139, 0)",2.2360679775
"(2, 139, 0)","(0, 139, 0)",2.0
"(2, 139, 0)","(0, 140, 0)",2.2360679775
"(2, 140, 0)","(0, 140, 0)",2.0
"(2, 140, 0)","(0, 141, 0)",2.2360679775
"(2, 141, 0)","(0, 141, 0)",2.0
"(2, 141, 0)","(0, 142, 0)",2.2360679775
"(2, 142, 0)","(0, 142, 0)",2.0
"(2, 142, 0)","(0, 143, 0)",2.2360679775
"(2, 143, 0)","(0, 143, 0)",2.0
"(2, 143, 0)","(0, 144, 0)",2.2360679775
"(2, 144, 0)","(0, 144, 0)",2.0
"(2, 144, 0)","(0, 145, 0)",2.2360679775
"(2, 145, 0)","(0, 145, 0)",2.0
"(2, 145, 0)","(0, 146, 0)",2.2360679775
"(2, 146, 0)","(0, 146, 0)",2.0
"(2, 146, 0)","(0, 147, 0)",2.2360679775
"(2, 147, 0)","(0, 147, 0)",2.0
"(2, 147, 0)","(0, 148, 0)",2.2360679775
"(2, 148, 0)","(0, 148, 0)",2.0
"(2, 148, 0)","(0, 149, 0)",2.2360679775
"(2, 149, 0)","(0, 149, 0)",2.0
"(2, 149, 0)","(0, 150, 0)",2.2360679775
"(2, 150, 0)","(0, 150, 0)",2.0
"(2, 150, 0)","(0, 151, 0)",2.2360679775
"(2, 151, 0)","(0, 151, 0)",2.0
"(2, 151, 0)","(0, 152, 0)",2.2360679775
"(2, 152, 0)","(0, 152, 0)",2.0
"(2, 152, 0)","(0, 153, 0)",2.2360679775
"(2, 153, 0)","(0, 153, 0)",2.0
"(2, 153, 0)","(0, 154, 0)",2.2360679775
"(2, 154, 0)","(0, 154, 0)",2.0
"(2, 154, 0)","(0, 155, 0)",2.2360679775
"(2, 155, 0)","(0, 155, 0)",2.0
"(2, 155, 0)","(0, 156, 0)",2.2360679775
"(2, 156, 0)","(0, 156, 0)",2.0
"(2, 156, 0)","(0, 157, 0)",2.2360679775
"(2, 157, 0)","(0, 157, 0)",2.0
"(2, 157, 0)","(0, 158, 0)",2.2360679775
"(2, 158, 0)","(0, 158, 0)",2.0
"(2, 158, 0)","(0, 159, 0)",2.2360679775
"(2, 159, 0)","(0, 159, 0)",2.0
"(2, 159, 0)","(0, 160, 0)",2.2360679775
"(2, 160, 0)","(0, 160, 0)",2.0
"(2, 160, 0)","(0, 161, 0)",2.2360679775
"(2, 161, 0)","(0, 161, 0)",2.0
"(2, 161, 0)","(0, 162, 0)",2.2360679775
"(2, 162, 0)","(0, 162, 0)",2.0
"(2, 162, 0)","(0, 163, 0)",2.2360679775
"(2, 163, 0)","(0, 163, 0)",2.0
"(2, 163, 0)","(0, 164, 0)",2.2360679775
"(2, 164, 0)","(0, 164, 0)",2.0
"(2, 164, 0)","(0, 165, 0)",2.2360679775
"(2, 165, 0)","(0, 165, 0)",2.0
"(2, 165, 0)","(0, 166, 0)",2.2360679775
"(2, 166, 0)","(0, 166, 0)",2.0
"(2, 166, 0)","(0, 167, 0)",2.2360679775
"(2, 167, 0)","(0, 167, 0)",2.0
"(2, 167, 0)","(0, 168, 0)",2.2360679775
"(2, 168, 0)","(0, 168, 0)",2.0
"(2, 168, 0)","(0, 169, 0)",2.2360679775
"(2, 169, 0)","(0, 169, 0)",2.0
"(2, 169, 0)","(0, 170, 0)",2.2360679775
"(2, 170, 0)","(0, 170, 0)",2.0
"(2, 170, 0)","(0, 171, 0)",2.2360679775
"(2, 171, 0)","(0, 171, 0)",2.0
"(2, 171, 0)","(0, 172, 0)",2.2360679775
"(2, 172, 0)","(0, 172, 0)",2.0
"(2, 172, 0)","(0, 173, 0)",2.2360679775
"(2, 173, 0)","(0, 173, 0)",2.0
"(2, 173, 0)","(0, 174, 0)",2.2360679775
"(2, 174, 0)","(0, 174, 0)",2.0
"(2, 174, 0)","(0, 175, 0)",2.2360679775
"(2, 175, 0)","(0, 175, 0)",2.0
"(2, 175, 0)","(0, 176, 0)",2.2360679775
"(2, 176, 0)","(0, 176, 0)",2.0
"(2, 176, 0)","(0, 177, 0)",2.2360679775
"(2, 177, 0)","(0, 177, 0)",2.0
"(2, 177, 0)","(0, 178, 0)",2.2360679775
"(2, 178, 0)","(0, 178, 0)",2.0
"(2, 178, 0)","(0, 179, 0)",2.2360679775
"(2, 179, 0)","(0, 179, 0)",2.0
"(2, 179, 0)","(0, 180, 0)",2.2360679775
"(2, 180, 0)","(0, 180, 0)",2.0
"(2, 180, 0)","(0, 181, 0)",2.2360679775
"(2, 181, 0)","(0, 181, 0)",2.0
"(2, 181, 0)","(0, 182, 0)",2.2360679775
"(2, 182, 0)","(0, 182, 0)",2.0
"(2, 182, 0)","(0, 183, 0)",2.2360679775
"(2, 183, 0)","(0, 183, 0)",2.0
"(2, 183, 0)","(0, 184, 0)",2.2360679775
"(2, 184, 0)","(0, 184, 0)",2.0
"(2, 184, 0)","(0, 185, 0)",2.2360679775
"(2, 185, 0)","(0, 185, 0)",2.0
"(2, 185, 0)","(0, 186, 0)",2.2360679775
"(2, 186, 0)","(0, 186, 0)",2.0
"(2, 186, 0)","(0, 187, 0)",2.2360679775
"(2, 187, 0)","(0, 187, 0)",2.0
"(2, 187, 0)","(0, 188, 0)",2.2360679775
"(2, 188, 0)","(0, 188, 0)",2.0
"(2, 188, 0)","(0, 189, 0)",2.2360679775
"(2, 189, 0)","(0, 189, 0)",2.0
"(2, 189, 0)","(0, 190, 0)",2.2360679775
"(2, 190, 0)","(0, 190, 0)",2.0
"(2, 190, 0)","(0, 191, 0)",2.2360679775
"(2, 191, 0)","(0, 191, 0)",2.0
"(2, 191, 0)","(0, 192, 0)",2.2360679775
"(2, 192, 0)","(0, 192, 0)",2.0
"(2, 192, 0)","(0, 193, 0)",2.2360679775
"(2, 193, 0)","(0, 193, 0)",2.0
"(2, 193, 0)","(0, 194, 0)",2.2360679775
"(2, 194, 0)","(0, 194, 0)",2.0
"(2, 194, 0)","(0, 195, 0)",2.2360679775
"(2, 195, 0)","(0, 195, 0)",2.0
"(2, 195, 0)","(0, 196, 0)",2.2360679775
"(2, 196, 0)","(0, 196, 0)",2.0
"(2, 196, 0)","(0, 197, 0)",2.2360679775
"(2, 197, 0)","(0, 197, 0)",2.0
"(2, 197, 0)","(0, 198, 0)",2.2360679775
"(2, 198, 0)","(0, 198, 0)",2.0
"(2, 198, 0)","(0, 199, 0)",2.2360679775
"(2, 199, 0)","(0, 199, 0)",2.0
"(2, 199, 0)","(0, 200, 0)",2.2360679775
"(2, 200, 0)","(0, 200, 0)",2.0
"(2, 200, 0)","(0, 201, 0)",2.2360679775
"(2, 201, 0)","(0, 201, 0)",2.0
"(2, 201, 0)","(0, 202, 0)",2.2360679775
"(2, 202, 0)","(0, 202, 0)",2.0
"(2, 202, 0)","(0, 203, 0)",2.2360679775
"(2, 203, 0)","(0, 203, 0)",2.0
"(2, 203, 0)","(0, 204, 0)",2.2360679775
"(2, 204, 0)","(0, 204, 0)",2.0
"(2, 204, 0)","(0, 205, 0)",2.2360679775
"(2, 205, 0)","(0, 205, 0)",2.0
"(2, 205, 0)","(0, 206, 0)",2.2360679775
"(2, 206, 0)","(0, 206, 0)",2.0
"(2, 206, 0)","(0, 207, 0)",2.2360679775
"(2, 207, 0)","(0, 207, 0)",2.0
"(2, 207, 0)","(0, 208, 0)",2.2360679775
"(2, 208, 0)","(0, 208, 0)",2.0
"(2, 208, 0)","(0, 209, 0)",2.2360679775
"(2, 209, 0)","(0, 209, 0)",2.0
"(2, 209, 0)","(0, 210, 0)",2.2360679775
"(2, 210, 0)","(0, 210, 0)",2.0
"(2, 210, 0)","(0, 211, 0)",2.2360679775
"(2, 211, 0)","(0, 211, 0)",2.0
"(2, 211, 0)","(0, 212, 0)",2.2360679775
"(2, 212, 0)","(0, 212, 0)",2.0
"(2, 212, 0)","(0, 213, 0)",2.2360679775
"(2, 213, 0)","(0, 213, 0)",2.0
"(2, 213, 0)","(0, 214, 0)",2.2360679775
"(2, 214, 0)","(0, 214, 0)",2.0
"(2, 214, 0)","(0, 215, 0)",2.2360679775
"(2, 215, 0)","(0, 215, 0)",2.0
