color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 0, 128)","(1, 0, 128)","(-26, 13, 135)","(-26, 13, 135)",1.0,0.0
"(0, 0, 128)","(2, 0, 128)","(-26, 13, 135)","(-26, 13, 135)",2.0,0.0
"(0, 0, 128)","(3, 0, 128)","(-26, 13, 135)","(-26, 13, 135)",3.0,0.0
"(0, 0, 128)","(4, 0, 128)","(-26, 13, 135)","(-26, 13, 135)",4.0,0.0
"(0, 0, 129)","(1, 0, 129)","(-26, 13, 136)","(-26, 13, 136)",1.0,0.0
"(0, 0, 129)","(2, 0, 129)","(-26, 13, 136)","(-26, 13, 136)",2.0,0.0
"(0, 0, 129)","(3, 0, 129)","(-26, 13, 136)","(-26, 13, 136)",3.0,0.0
"(0, 0, 129)","(4, 0, 129)","(-26, 13, 136)","(-26, 13, 136)",4.0,0.0
"(0, 0, 129)","(5, 0, 129)","(-26, 13, 136)","(-26, 13, 136)",5.0,0.0
"(0, 0, 129)","(6, 0, 129)","(-26, 13, 136)","(-26, 13, 136)",6.0,0.0
"(0, 0, 131)","(1, 0, 131)","(-27, 13, 138)","(-27, 13, 138)",1.0,0.0
"(0, 0, 131)","(2, 0, 131)","(-27, 13, 138)","(-27, 13, 138)",2.0,0.0
"(0, 0, 132)","(1, 0, 132)","(-27, 13, 139)","(-27, 13, 139)",1.0,0.0
"(0, 0, 132)","(2, 0, 132)","(-27, 13, 139)","(-27, 13, 139)",2.0,0.0
"(0, 0, 132)","(3, 0, 132)","(-27, 13, 139)","(-27, 13, 139)",3.0,0.0
"(0, 0, 133)","(1, 0, 133)","(-27, 13, 140)","(-27, 13, 140)",1.0,0.0
"(0, 0, 133)","(2, 0, 133)","(-27, 13, 140)","(-27, 13, 140)",2.0,0.0
"(0, 0, 134)","(1, 0, 134)","(-27, 13, 141)","(-27, 13, 141)",1.0,0.0
"(0, 0, 137)","(1, 0, 137)","(-28, 14, 144)","(-28, 14, 144)",1.0,0.0
"(0, 0, 137)","(2, 0, 137)","(-28, 14, 144)","(-28, 14, 144)",2.0,0.0
"(0, 0, 137)","(3, 0, 137)","(-28, 14, 144)","(-28, 14, 144)",3.0,0.0
"(0, 0, 138)","(1, 0, 138)","(-28, 14, 145)","(-28, 14, 145)",1.0,0.0
"(0, 0, 138)","(2, 0, 138)","(-28, 14, 145)","(-28, 14, 145)",2.0,0.0
"(0, 0, 138)","(3, 0, 138)","(-28, 14, 145)","(-28, 14, 145)",3.0,0.0
"(0, 0, 138)","(4, 0, 138)","(-28, 14, 145)","(-28, 14, 145)",4.0,0.0
"(0, 0, 138)","(5, 0, 138)","(-28, 14, 145)","(-28, 14, 145)",5.0,0.0
"(0, 0, 139)","(1, 0, 139)","(-28, 14, 146)","(-28, 14, 146)",1.0,0.0
"(0, 0, 139)","(2, 0, 139)","(-28, 14, 146)","(-28, 14, 146)",2.0,0.0
"(0, 0, 139)","(3, 0, 139)","(-28, 14, 146)","(-28, 14, 146)",3.0,0.0
"(0, 0, 139)","(4, 0, 139)","(-28, 14, 146)","(-28, 14, 146)",4.0,0.0
"(0, 0, 139)","(5, 0, 139)","(-28, 14, 146)","(-28, 14, 146)",5.0,0.0
"(0, 0, 139)","(6, 0, 139)","(-28, 14, 146)","(-28, 14, 146)",6.0,0.0
"(0, 0, 140)","(1, 0, 140)","(-29, 14, 147)","(-29, 14, 147)",1.0,0.0
"(0, 0, 141)","(1, 0, 141)","(-29, 14, 148)","(-29, 14, 148)",1.0,0.0
"(0, 0, 141)","(2, 0, 141)","(-29, 14, 148)","(-29, 14, 148)",2.0,0.0
"(0, 0, 142)","(1, 0, 142)","(-29, 14, 149)","(-29, 14, 149)",1.0,0.0
"(0, 0, 142)","(2, 0, 142)","(-29, 14, 149)","(-29, 14, 149)",2.0,0.0
"(0, 0, 142)","(3, 0, 142)","(-29, 14, 149)","(-29, 14, 149)",3.0,0.0
"(0, 0, 143)","(1, 0, 143)","(-29, 14, 150)","(-29, 14, 150)",1.0,0.0
"(0, 0, 143)","(2, 0, 143)","(-29, 14, 150)","(-29, 14, 150)",2.0,0.0
"(0, 0, 147)","(1, 0, 147)","(-30, 15, 155)","(-30, 15, 155)",1.0,0.0
"(0, 0, 147)","(2, 0, 147)","(-30, 15, 155)","(-30, 15, 155)",2.0,0.0
"(0, 0, 147)","(3, 0, 147)","(-30, 15, 155)","(-30, 15, 155)",3.0,0.0
"(0, 0, 147)","(4, 0, 147)","(-30, 15, 155)","(-30, 15, 155)",4.0,0.0
"(0, 0, 148)","(1, 0, 148)","(-30, 15, 156)","(-30, 15, 156)",1.0,0.0
"(0, 0, 148)","(2, 0, 148)","(-30, 15, 156)","(-30, 15, 156)",2.0,0.0
"(0, 0, 148)","(3, 0, 148)","(-30, 15, 156)","(-30, 15, 156)",3.0,0.0
"(0, 0, 148)","(4, 0, 148)","(-30, 15, 156)","(-30, 15, 156)",4.0,0.0
"(0, 0, 148)","(5, 0, 148)","(-30, 15, 156)","(-30, 15, 156)",5.0,0.0
"(0, 0, 150)","(1, 0, 150)","(-31, 15, 158)","(-31, 15, 158)",1.0,0.0
"(0, 0, 151)","(1, 0, 151)","(-31, 15, 159)","(-31, 15, 159)",1.0,0.0
"(0, 0, 151)","(2, 0, 151)","(-31, 15, 159)","(-31, 15, 159)",2.0,0.0
"(0, 0, 152)","(1, 0, 152)","(-31, 15, 160)","(-31, 15, 160)",1.0,0.0
"(0, 0, 152)","(2, 0, 152)","(-31, 15, 160)","(-31, 15, 160)",2.0,0.0
"(0, 0, 152)","(3, 0, 152)","(-31, 15, 160)","(-31, 15, 160)",3.0,0.0
"(0, 0, 153)","(1, 0, 153)","(-31, 15, 161)","(-31, 15, 161)",1.0,0.0
"(0, 0, 153)","(2, 0, 153)","(-31, 15, 161)","(-31, 15, 161)",2.0,0.0
"(0, 0, 155)","(1, 0, 155)","(-32, 15, 163)","(-32, 15, 163)",1.0,0.0
"(0, 0, 157)","(1, 0, 157)","(-32, 16, 165)","(-32, 16, 165)",1.0,0.0
"(0, 0, 157)","(2, 0, 157)","(-32, 16, 165)","(-32, 16, 165)",2.0,0.0
"(0, 0, 157)","(3, 0, 157)","(-32, 16, 165)","(-32, 16, 165)",3.0,0.0
"(0, 0, 157)","(4, 0, 157)","(-32, 16, 165)","(-32, 16, 165)",4.0,0.0
"(0, 0, 158)","(1, 0, 158)","(-32, 16, 166)","(-32, 16, 166)",1.0,0.0
"(0, 0, 158)","(2, 0, 158)","(-32, 16, 166)","(-32, 16, 166)",2.0,0.0
"(0, 0, 158)","(3, 0, 158)","(-32, 16, 166)","(-32, 16, 166)",3.0,0.0
"(0, 0, 158)","(4, 0, 158)","(-32, 16, 166)","(-32, 16, 166)",4.0,0.0
"(0, 0, 158)","(5, 0, 158)","(-32, 16, 166)","(-32, 16, 166)",5.0,0.0
"(0, 0, 160)","(1, 0, 160)","(-33, 16, 168)","(-33, 16, 168)",1.0,0.0
"(0, 0, 161)","(1, 0, 161)","(-33, 16, 169)","(-33, 16, 169)",1.0,0.0
"(0, 0, 161)","(2, 0, 161)","(-33, 16, 169)","(-33, 16, 169)",2.0,0.0
"(0, 0, 161)","(3, 0, 161)","(-33, 16, 169)","(-33, 16, 169)",3.0,0.0
"(0, 0, 162)","(1, 0, 162)","(-33, 16, 170)","(-33, 16, 170)",1.0,0.0
