color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 0, 128)","(0, 0, 131)","(-23, 19, 39)","(-23, 19, 40)",3.0,1.0
"(0, 0, 128)","(0, 0, 132)","(-23, 19, 39)","(-24, 19, 40)",4.0,1.41421356237
"(0, 0, 128)","(0, 0, 133)","(-23, 19, 39)","(-24, 20, 40)",5.0,1.73205080757
"(0, 0, 128)","(0, 1, 130)","(-23, 19, 39)","(-23, 20, 40)",2.2360679775,1.41421356237
"(0, 0, 129)","(0, 0, 132)","(-23, 19, 39)","(-24, 19, 40)",3.0,1.41421356237
"(0, 0, 129)","(0, 0, 133)","(-23, 19, 39)","(-24, 20, 40)",4.0,1.73205080757
"(0, 0, 130)","(0, 0, 133)","(-23, 19, 40)","(-24, 20, 40)",3.0,1.41421356237
"(0, 0, 130)","(0, 0, 134)","(-23, 19, 40)","(-24, 20, 41)",4.0,1.73205080757
"(0, 0, 130)","(0, 0, 135)","(-23, 19, 40)","(-24, 20, 41)",5.0,1.73205080757
"(0, 0, 130)","(0, 0, 136)","(-23, 19, 40)","(-24, 20, 41)",6.0,1.73205080757
"(0, 0, 130)","(0, 1, 128)","(-23, 19, 40)","(-23, 20, 40)",2.2360679775,1.0
"(0, 0, 130)","(0, 1, 132)","(-23, 19, 40)","(-24, 20, 41)",2.2360679775,1.73205080757
"(0, 0, 130)","(0, 2, 128)","(-23, 19, 40)","(-23, 21, 40)",2.82842712475,2.0
"(0, 0, 131)","(0, 0, 128)","(-23, 19, 40)","(-23, 19, 39)",3.0,1.0
"(0, 0, 131)","(0, 0, 134)","(-23, 19, 40)","(-24, 20, 41)",3.0,1.73205080757
"(0, 0, 131)","(0, 0, 135)","(-23, 19, 40)","(-24, 20, 41)",4.0,1.73205080757
"(0, 0, 131)","(0, 0, 136)","(-23, 19, 40)","(-24, 20, 41)",5.0,1.73205080757
"(0, 0, 131)","(0, 1, 128)","(-23, 19, 40)","(-23, 20, 40)",3.16227766017,1.0
"(0, 0, 131)","(0, 1, 129)","(-23, 19, 40)","(-23, 20, 40)",2.2360679775,1.0
"(0, 0, 131)","(0, 2, 128)","(-23, 19, 40)","(-23, 21, 40)",3.60555127546,2.0
"(0, 0, 132)","(0, 0, 128)","(-24, 19, 40)","(-23, 19, 39)",4.0,1.41421356237
"(0, 0, 132)","(0, 0, 129)","(-24, 19, 40)","(-23, 19, 39)",3.0,1.41421356237
"(0, 0, 132)","(0, 0, 135)","(-24, 19, 40)","(-24, 20, 41)",3.0,1.41421356237
"(0, 0, 132)","(0, 0, 136)","(-24, 19, 40)","(-24, 20, 41)",4.0,1.41421356237
"(0, 0, 132)","(0, 1, 128)","(-24, 19, 40)","(-23, 20, 40)",4.12310562562,1.41421356237
"(0, 0, 132)","(0, 1, 129)","(-24, 19, 40)","(-23, 20, 40)",3.16227766017,1.41421356237
"(0, 0, 132)","(0, 1, 130)","(-24, 19, 40)","(-23, 20, 40)",2.2360679775,1.41421356237
"(0, 0, 133)","(0, 0, 128)","(-24, 20, 40)","(-23, 19, 39)",5.0,1.73205080757
"(0, 0, 133)","(0, 0, 129)","(-24, 20, 40)","(-23, 19, 39)",4.0,1.73205080757
"(0, 0, 133)","(0, 0, 130)","(-24, 20, 40)","(-23, 19, 40)",3.0,1.41421356237
"(0, 0, 133)","(0, 0, 136)","(-24, 20, 40)","(-24, 20, 41)",3.0,1.0
"(0, 0, 133)","(0, 0, 137)","(-24, 20, 40)","(-24, 20, 42)",4.0,2.0
"(0, 0, 133)","(0, 1, 128)","(-24, 20, 40)","(-23, 20, 40)",5.09901951359,1.0
"(0, 0, 133)","(0, 1, 129)","(-24, 20, 40)","(-23, 20, 40)",4.12310562562,1.0
"(0, 0, 133)","(0, 1, 130)","(-24, 20, 40)","(-23, 20, 40)",3.16227766017,1.0
"(0, 0, 133)","(0, 1, 131)","(-24, 20, 40)","(-23, 20, 41)",2.2360679775,1.41421356237
"(0, 0, 133)","(0, 2, 128)","(-24, 20, 40)","(-23, 21, 40)",5.38516480713,1.41421356237
"(0, 0, 133)","(0, 2, 129)","(-24, 20, 40)","(-23, 21, 41)",4.472135955,1.73205080757
"(0, 0, 133)","(0, 2, 130)","(-24, 20, 40)","(-23, 21, 41)",3.60555127546,1.73205080757
"(0, 0, 133)","(0, 2, 131)","(-24, 20, 40)","(-24, 21, 41)",2.82842712475,1.41421356237
"(0, 0, 133)","(0, 2, 132)","(-24, 20, 40)","(-24, 21, 41)",2.2360679775,1.41421356237
"(0, 0, 134)","(0, 0, 130)","(-24, 20, 41)","(-23, 19, 40)",4.0,1.73205080757
"(0, 0, 134)","(0, 0, 131)","(-24, 20, 41)","(-23, 19, 40)",3.0,1.73205080757
"(0, 0, 134)","(0, 0, 137)","(-24, 20, 41)","(-24, 20, 42)",3.0,1.0
"(0, 0, 134)","(0, 0, 138)","(-24, 20, 41)","(-25, 20, 42)",4.0,1.41421356237
"(0, 0, 134)","(0, 0, 139)","(-24, 20, 41)","(-25, 21, 42)",5.0,1.73205080757
"(0, 0, 134)","(0, 1, 128)","(-24, 20, 41)","(-23, 20, 40)",6.0827625303,1.41421356237
"(0, 0, 134)","(0, 1, 129)","(-24, 20, 41)","(-23, 20, 40)",5.09901951359,1.41421356237
