color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 128, 0)","(0, 128, 3)","(-10, 119, 88)","(-10, 120, 89)",3.0,1.41421356237
"(0, 129, 0)","(0, 128, 2)","(-10, 120, 89)","(-10, 119, 89)",2.2360679775,1.0
"(0, 129, 0)","(0, 128, 3)","(-10, 120, 89)","(-10, 120, 89)",3.16227766017,0.0
"(0, 129, 0)","(0, 128, 4)","(-10, 120, 89)","(-11, 120, 90)",4.12310562562,1.41421356237
"(0, 129, 0)","(0, 128, 5)","(-10, 120, 89)","(-11, 120, 90)",5.09901951359,1.41421356237
"(0, 129, 0)","(0, 128, 6)","(-10, 120, 89)","(-11, 120, 90)",6.0827625303,1.41421356237
"(0, 129, 0)","(0, 129, 3)","(-10, 120, 89)","(-10, 121, 90)",3.0,1.41421356237
"(0, 129, 0)","(0, 129, 4)","(-10, 120, 89)","(-11, 121, 90)",4.0,1.73205080757
"(0, 129, 0)","(0, 130, 2)","(-10, 120, 89)","(-10, 121, 90)",2.2360679775,1.41421356237
"(0, 130, 0)","(0, 128, 3)","(-10, 121, 90)","(-10, 120, 89)",3.60555127546,1.41421356237
"(0, 130, 0)","(0, 128, 4)","(-10, 121, 90)","(-11, 120, 90)",4.472135955,1.41421356237
"(0, 130, 0)","(0, 128, 5)","(-10, 121, 90)","(-11, 120, 90)",5.38516480713,1.41421356237
"(0, 130, 0)","(0, 128, 6)","(-10, 121, 90)","(-11, 120, 90)",6.32455532034,1.41421356237
"(0, 130, 0)","(0, 128, 7)","(-10, 121, 90)","(-11, 120, 91)",7.28010988928,1.73205080757
"(0, 130, 0)","(0, 128, 8)","(-10, 121, 90)","(-11, 120, 91)",8.24621125124,1.73205080757
"(0, 130, 0)","(0, 128, 9)","(-10, 121, 90)","(-11, 120, 91)",9.21954445729,1.73205080757
"(0, 130, 0)","(0, 129, 2)","(-10, 121, 90)","(-10, 120, 90)",2.2360679775,1.0
"(0, 130, 0)","(0, 129, 3)","(-10, 121, 90)","(-10, 121, 90)",3.16227766017,0.0
"(0, 130, 0)","(0, 129, 4)","(-10, 121, 90)","(-11, 121, 90)",4.12310562562,1.0
"(0, 130, 0)","(0, 129, 5)","(-10, 121, 90)","(-11, 121, 91)",5.09901951359,1.41421356237
"(0, 130, 0)","(0, 129, 6)","(-10, 121, 90)","(-11, 121, 91)",6.0827625303,1.41421356237
"(0, 130, 0)","(0, 129, 7)","(-10, 121, 90)","(-11, 121, 91)",7.07106781187,1.41421356237
"(0, 130, 0)","(0, 130, 3)","(-10, 121, 90)","(-11, 121, 91)",3.0,1.41421356237
"(0, 130, 0)","(0, 130, 4)","(-10, 121, 90)","(-11, 122, 91)",4.0,1.73205080757
"(0, 130, 0)","(0, 130, 5)","(-10, 121, 90)","(-11, 122, 91)",5.0,1.73205080757
"(0, 130, 0)","(0, 131, 2)","(-10, 121, 90)","(-10, 122, 91)",2.2360679775,1.41421356237
"(0, 130, 0)","(0, 131, 3)","(-10, 121, 90)","(-11, 122, 91)",3.16227766017,1.73205080757
"(0, 131, 0)","(0, 129, 3)","(-10, 122, 91)","(-10, 121, 90)",3.60555127546,1.41421356237
"(0, 131, 0)","(0, 129, 4)","(-10, 122, 91)","(-11, 121, 90)",4.472135955,1.73205080757
"(0, 131, 0)","(0, 129, 5)","(-10, 122, 91)","(-11, 121, 91)",5.38516480713,1.41421356237
"(0, 131, 0)","(0, 129, 6)","(-10, 122, 91)","(-11, 121, 91)",6.32455532034,1.41421356237
"(0, 131, 0)","(0, 129, 7)","(-10, 122, 91)","(-11, 121, 91)",7.28010988928,1.41421356237
"(0, 131, 0)","(0, 129, 8)","(-10, 122, 91)","(-11, 121, 92)",8.24621125124,1.73205080757
"(0, 131, 0)","(0, 130, 2)","(-10, 122, 91)","(-10, 121, 90)",2.2360679775,1.41421356237
"(0, 131, 0)","(0, 130, 3)","(-10, 122, 91)","(-11, 121, 91)",3.16227766017,1.41421356237
"(0, 131, 0)","(0, 130, 4)","(-10, 122, 91)","(-11, 122, 91)",4.12310562562,1.0
"(0, 131, 0)","(0, 130, 5)","(-10, 122, 91)","(-11, 122, 91)",5.09901951359,1.0
"(0, 131, 0)","(0, 130, 6)","(-10, 122, 91)","(-11, 122, 92)",6.0827625303,1.41421356237
"(0, 131, 0)","(0, 130, 7)","(-10, 122, 91)","(-11, 122, 92)",7.07106781187,1.41421356237
"(0, 131, 0)","(0, 130, 8)","(-10, 122, 91)","(-11, 122, 92)",8.0622577483,1.41421356237
"(0, 131, 0)","(0, 131, 3)","(-10, 122, 91)","(-11, 122, 91)",3.0,1.0
"(0, 131, 0)","(0, 131, 4)","(-10, 122, 91)","(-11, 123, 92)",4.0,1.73205080757
"(0, 131, 0)","(0, 131, 5)","(-10, 122, 91)","(-11, 123, 92)",5.0,1.73205080757
"(0, 131, 0)","(0, 131, 6)","(-10, 122, 91)","(-11, 123, 92)",6.0,1.73205080757
"(0, 131, 0)","(0, 132, 2)","(-10, 122, 91)","(-10, 123, 92)",2.2360679775,1.41421356237
"(0, 131, 0)","(0, 132, 3)","(-10, 122, 91)","(-11, 123, 92)",3.16227766017,1.73205080757
"(0, 131, 0)","(0, 132, 4)","(-10, 122, 91)","(-11, 123, 92)",4.12310562562,1.73205080757
"(0, 132, 0)","(0, 130, 4)","(-10, 123, 91)","(-11, 122, 91)",4.472135955,1.41421356237
"(0, 132, 0)","(0, 130, 5)","(-10, 123, 91)","(-11, 122, 91)",5.38516480713,1.41421356237
"(0, 132, 0)","(0, 130, 6)","(-10, 123, 91)","(-11, 122, 92)",6.32455532034,1.73205080757
"(0, 132, 0)","(0, 130, 7)","(-10, 123, 91)","(-11, 122, 92)",7.28010988928,1.73205080757
"(0, 132, 0)","(0, 130, 8)","(-10, 123, 91)","(-11, 122, 92)",8.24621125124,1.73205080757
"(0, 132, 0)","(0, 131, 2)","(-10, 123, 91)","(-10, 122, 91)",2.2360679775,1.0
"(0, 132, 0)","(0, 131, 3)","(-10, 123, 91)","(-11, 122, 91)",3.16227766017,1.41421356237
"(0, 132, 0)","(0, 131, 4)","(-10, 123, 91)","(-11, 123, 92)",4.12310562562,1.41421356237
"(0, 132, 0)","(0, 131, 5)","(-10, 123, 91)","(-11, 123, 92)",5.09901951359,1.41421356237
"(0, 132, 0)","(0, 131, 6)","(-10, 123, 91)","(-11, 123, 92)",6.0827625303,1.41421356237
"(0, 132, 0)","(0, 132, 3)","(-10, 123, 91)","(-11, 123, 92)",3.0,1.41421356237
"(0, 132, 0)","(0, 132, 4)","(-10, 123, 91)","(-11, 123, 92)",4.0,1.41421356237
"(0, 133, 0)","(0, 131, 4)","(-10, 124, 92)","(-11, 123, 92)",4.472135955,1.41421356237
"(0, 133, 0)","(0, 131, 5)","(-10, 124, 92)","(-11, 123, 92)",5.38516480713,1.41421356237
"(0, 133, 0)","(0, 131, 6)","(-10, 124, 92)","(-11, 123, 92)",6.32455532034,1.41421356237
"(0, 133, 0)","(0, 131, 7)","(-10, 124, 92)","(-11, 123, 93)",7.28010988928,1.73205080757
"(0, 133, 0)","(0, 131, 8)","(-10, 124, 92)","(-11, 123, 93)",8.24621125124,1.73205080757
"(0, 133, 0)","(0, 132, 2)","(-10, 124, 92)","(-10, 123, 92)",2.2360679775,1.0
"(0, 133, 0)","(0, 132, 3)","(-10, 124, 92)","(-11, 123, 92)",3.16227766017,1.41421356237
"(0, 133, 0)","(0, 132, 4)","(-10, 124, 92)","(-11, 123, 92)",4.12310562562,1.41421356237
"(0, 133, 0)","(0, 132, 5)","(-10, 124, 92)","(-11, 124, 93)",5.09901951359,1.41421356237
"(0, 133, 0)","(0, 132, 6)","(-10, 124, 92)","(-11, 124, 93)",6.0827625303,1.41421356237
"(0, 133, 0)","(0, 132, 7)","(-10, 124, 92)","(-11, 124, 93)",7.07106781187,1.41421356237
"(0, 133, 0)","(0, 133, 3)","(-10, 124, 92)","(-11, 124, 93)",3.0,1.41421356237
"(0, 133, 0)","(0, 133, 4)","(-10, 124, 92)","(-11, 124, 93)",4.0,1.41421356237
