color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(128, 0, 0)","(128, 0, 3)","(161, -10, 1)","(160, -10, 2)",3.0,1.41421356237
"(128, 0, 0)","(128, 0, 4)","(161, -10, 1)","(160, -9, 2)",4.0,1.73205080757
"(128, 0, 0)","(128, 0, 5)","(161, -10, 1)","(160, -9, 2)",5.0,1.73205080757
"(128, 0, 0)","(128, 0, 6)","(161, -10, 1)","(160, -9, 2)",6.0,1.73205080757
"(128, 0, 0)","(129, 0, 2)","(161, -10, 1)","(162, -10, 1)",2.2360679775,1.0
"(128, 0, 0)","(129, 0, 3)","(161, -10, 1)","(161, -10, 2)",3.16227766017,1.0
"(128, 0, 0)","(129, 0, 4)","(161, -10, 1)","(161, -10, 2)",4.12310562562,1.0
"(128, 0, 0)","(129, 0, 5)","(161, -10, 1)","(161, -9, 2)",5.09901951359,1.41421356237
"(128, 0, 0)","(129, 0, 6)","(161, -10, 1)","(161, -9, 2)",6.0827625303,1.41421356237
"(128, 0, 0)","(130, 0, 1)","(161, -10, 1)","(163, -10, 1)",2.2360679775,2.0
"(128, 0, 0)","(130, 0, 2)","(161, -10, 1)","(163, -10, 1)",2.82842712475,2.0
"(128, 0, 0)","(130, 0, 5)","(161, -10, 1)","(162, -9, 2)",5.38516480713,1.73205080757
"(128, 0, 0)","(130, 0, 6)","(161, -10, 1)","(162, -9, 2)",6.32455532034,1.73205080757
"(128, 1, 0)","(128, 0, 2)","(161, -9, 1)","(160, -10, 1)",2.2360679775,1.41421356237
"(128, 1, 0)","(128, 0, 3)","(161, -9, 1)","(160, -10, 2)",3.16227766017,1.73205080757
"(128, 1, 0)","(128, 0, 4)","(161, -9, 1)","(160, -9, 2)",4.12310562562,1.41421356237
"(128, 1, 0)","(128, 0, 5)","(161, -9, 1)","(160, -9, 2)",5.09901951359,1.41421356237
"(128, 1, 0)","(128, 0, 6)","(161, -9, 1)","(160, -9, 2)",6.0827625303,1.41421356237
"(128, 1, 0)","(129, 0, 2)","(161, -9, 1)","(162, -10, 1)",2.44948974278,1.41421356237
"(128, 1, 0)","(129, 0, 3)","(161, -9, 1)","(161, -10, 2)",3.31662479036,1.41421356237
"(128, 1, 0)","(129, 0, 4)","(161, -9, 1)","(161, -10, 2)",4.24264068712,1.41421356237
"(128, 1, 0)","(129, 0, 5)","(161, -9, 1)","(161, -9, 2)",5.19615242271,1.0
"(128, 1, 0)","(129, 0, 6)","(161, -9, 1)","(161, -9, 2)",6.16441400297,1.0
"(128, 1, 0)","(129, 0, 7)","(161, -9, 1)","(161, -9, 3)",7.14142842854,2.0
"(128, 1, 0)","(129, 0, 8)","(161, -9, 1)","(161, -9, 3)",8.12403840464,2.0
"(128, 1, 0)","(130, 0, 5)","(161, -9, 1)","(162, -9, 2)",5.47722557505,1.41421356237
"(128, 1, 0)","(130, 0, 6)","(161, -9, 1)","(162, -9, 2)",6.40312423743,1.41421356237
"(128, 2, 0)","(128, 0, 4)","(161, -8, 2)","(160, -9, 2)",4.472135955,1.41421356237
"(128, 2, 0)","(128, 0, 5)","(161, -8, 2)","(160, -9, 2)",5.38516480713,1.41421356237
"(128, 2, 0)","(128, 0, 6)","(161, -8, 2)","(160, -9, 2)",6.32455532034,1.41421356237
"(128, 2, 0)","(129, 0, 3)","(161, -8, 2)","(161, -10, 2)",3.74165738677,2.0
"(128, 2, 0)","(129, 0, 4)","(161, -8, 2)","(161, -10, 2)",4.58257569496,2.0
"(128, 2, 0)","(129, 0, 5)","(161, -8, 2)","(161, -9, 2)",5.47722557505,1.0
"(128, 2, 0)","(129, 0, 6)","(161, -8, 2)","(161, -9, 2)",6.40312423743,1.0
"(128, 2, 0)","(129, 0, 7)","(161, -8, 2)","(161, -9, 3)",7.34846922835,1.41421356237
"(128, 2, 0)","(129, 0, 8)","(161, -8, 2)","(161, -9, 3)",8.30662386292,1.41421356237
"(128, 2, 0)","(129, 0, 9)","(161, -8, 2)","(160, -9, 3)",9.2736184955,1.73205080757
"(128, 2, 0)","(130, 0, 5)","(161, -8, 2)","(162, -9, 2)",5.74456264654,1.41421356237
"(128, 2, 0)","(130, 0, 6)","(161, -8, 2)","(162, -9, 2)",6.63324958071,1.41421356237
"(128, 2, 0)","(130, 0, 7)","(161, -8, 2)","(162, -9, 3)",7.54983443527,1.73205080757
"(128, 2, 0)","(130, 0, 8)","(161, -8, 2)","(162, -9, 3)",8.48528137424,1.73205080757
"(128, 2, 0)","(130, 0, 9)","(161, -8, 2)","(162, -9, 3)",9.43398113206,1.73205080757
"(128, 2, 0)","(130, 0, 12)","(161, -8, 2)","(161, -8, 4)",12.3288280059,2.0
"(128, 3, 0)","(128, 0, 11)","(160, -7, 3)","(159, -8, 4)",11.401754251,1.73205080757
"(128, 3, 0)","(128, 0, 12)","(160, -7, 3)","(159, -8, 4)",12.3693168769,1.73205080757
"(128, 3, 0)","(129, 0, 9)","(160, -7, 3)","(160, -9, 3)",9.53939201417,2.0
