color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 132, 0)","(0, 133, 0)","(114, 89, 6)","(114, 89, 6)",1.0,0.0
"(0, 133, 0)","(0, 132, 0)","(114, 89, 6)","(114, 89, 6)",1.0,0.0
"(0, 152, 0)","(0, 152, 1)","(131, 102, 7)","(131, 102, 7)",1.0,0.0
"(0, 154, 0)","(0, 155, 0)","(133, 104, 7)","(133, 104, 7)",1.0,0.0
"(0, 155, 0)","(0, 154, 0)","(133, 104, 7)","(133, 104, 7)",1.0,0.0
"(0, 175, 0)","(0, 176, 0)","(151, 118, 8)","(151, 118, 8)",1.0,0.0
"(0, 176, 0)","(0, 175, 0)","(151, 118, 8)","(151, 118, 8)",1.0,0.0
"(0, 190, 0)","(0, 191, 0)","(164, 128, 8)","(164, 128, 8)",1.0,0.0
"(0, 191, 0)","(0, 190, 0)","(164, 128, 8)","(164, 128, 8)",1.0,0.0
"(0, 198, 0)","(0, 198, 1)","(170, 133, 9)","(170, 133, 9)",1.0,0.0
"(0, 218, 0)","(0, 219, 0)","(188, 147, 9)","(188, 147, 9)",1.0,0.0
"(0, 219, 0)","(0, 218, 0)","(188, 147, 9)","(188, 147, 9)",1.0,0.0
"(0, 233, 0)","(0, 234, 0)","(201, 157, 10)","(201, 157, 10)",1.0,0.0
"(0, 234, 0)","(0, 233, 0)","(201, 157, 10)","(201, 157, 10)",1.0,0.0
"(0, 245, 0)","(0, 245, 1)","(211, 165, 11)","(211, 165, 11)",1.0,0.0
"(0, 254, 0)","(0, 255, 0)","(219, 171, 11)","(219, 171, 11)",1.0,0.0
"(0, 255, 0)","(0, 254, 0)","(219, 171, 11)","(219, 171, 11)",1.0,0.0
"(1, 129, 0)","(0, 129, 0)","(111, 87, 6)","(111, 87, 6)",1.0,0.0
"(1, 131, 0)","(0, 131, 0)","(113, 88, 6)","(113, 88, 6)",1.0,0.0
"(1, 132, 0)","(0, 132, 0)","(114, 89, 6)","(114, 89, 6)",1.0,0.0
"(1, 132, 0)","(0, 133, 0)","(114, 89, 6)","(114, 89, 6)",1.41421356237,0.0
"(1, 133, 0)","(0, 134, 0)","(115, 90, 6)","(115, 90, 6)",1.41421356237,0.0
"(1, 135, 0)","(0, 136, 0)","(117, 91, 6)","(117, 91, 6)",1.41421356237,0.0
"(1, 137, 0)","(0, 137, 0)","(118, 92, 6)","(118, 92, 6)",1.0,0.0
"(1, 138, 0)","(0, 138, 0)","(119, 93, 6)","(119, 93, 6)",1.0,0.0
"(1, 139, 0)","(0, 140, 0)","(120, 94, 6)","(120, 94, 6)",1.41421356237,0.0
"(1, 141, 0)","(0, 142, 0)","(122, 95, 6)","(122, 95, 6)",1.41421356237,0.0
"(1, 142, 0)","(0, 143, 0)","(123, 96, 6)","(123, 96, 6)",1.41421356237,0.0
"(1, 143, 0)","(0, 143, 0)","(123, 96, 6)","(123, 96, 6)",1.0,0.0
"(1, 144, 0)","(0, 144, 0)","(124, 97, 6)","(124, 97, 6)",1.0,0.0
"(1, 145, 0)","(0, 145, 0)","(125, 98, 6)","(125, 98, 6)",1.0,0.0
"(1, 146, 0)","(0, 146, 0)","(126, 98, 6)","(126, 98, 6)",1.0,0.0
"(1, 147, 0)","(0, 147, 0)","(127, 99, 6)","(127, 99, 6)",1.0,0.0
"(1, 148, 0)","(0, 149, 0)","(128, 100, 6)","(128, 100, 6)",1.41421356237,0.0
"(1, 150, 0)","(0, 150, 0)","(129, 101, 6)","(129, 101, 6)",1.0,0.0
"(1, 151, 0)","(0, 151, 0)","(130, 102, 6)","(130, 102, 6)",1.0,0.0
"(1, 153, 0)","(0, 153, 0)","(132, 103, 7)","(132, 103, 7)",1.0,0.0
"(1, 154, 0)","(0, 154, 0)","(133, 104, 7)","(133, 104, 7)",1.0,0.0
"(1, 154, 0)","(0, 155, 0)","(133, 104, 7)","(133, 104, 7)",1.41421356237,0.0
"(1, 155, 0)","(0, 156, 0)","(134, 105, 7)","(134, 105, 7)",1.41421356237,0.0
"(1, 157, 0)","(0, 157, 0)","(135, 106, 7)","(135, 106, 7)",1.0,0.0
"(1, 159, 0)","(0, 159, 0)","(137, 107, 7)","(137, 107, 7)",1.0,0.0
"(1, 160, 0)","(0, 160, 0)","(138, 108, 7)","(138, 108, 7)",1.0,0.0
"(1, 161, 0)","(0, 162, 0)","(139, 109, 7)","(139, 109, 7)",1.41421356237,0.0
"(1, 163, 0)","(0, 164, 0)","(141, 110, 7)","(141, 110, 7)",1.41421356237,0.0
"(1, 164, 0)","(0, 165, 0)","(142, 111, 7)","(142, 111, 7)",1.41421356237,0.0
"(1, 165, 0)","(0, 165, 0)","(142, 111, 7)","(142, 111, 7)",1.0,0.0
"(1, 166, 0)","(0, 166, 0)","(143, 112, 7)","(143, 112, 7)",1.0,0.0
"(1, 168, 0)","(0, 168, 0)","(145, 113, 7)","(145, 113, 7)",1.0,0.0
"(1, 169, 0)","(0, 170, 0)","(146, 114, 7)","(146, 114, 7)",1.41421356237,0.0
"(1, 170, 0)","(0, 171, 0)","(147, 115, 7)","(147, 115, 7)",1.41421356237,0.0
"(1, 172, 0)","(0, 172, 0)","(148, 116, 7)","(148, 116, 7)",1.0,0.0
"(1, 174, 0)","(0, 174, 0)","(150, 117, 7)","(150, 117, 7)",1.0,0.0
"(1, 175, 0)","(0, 175, 0)","(151, 118, 8)","(151, 118, 8)",1.0,0.0
"(1, 175, 0)","(0, 176, 0)","(151, 118, 8)","(151, 118, 8)",1.41421356237,0.0
"(1, 176, 0)","(0, 177, 0)","(152, 119, 8)","(152, 119, 8)",1.41421356237,0.0
"(1, 178, 0)","(0, 179, 0)","(154, 120, 8)","(154, 120, 8)",1.41421356237,0.0
"(1, 180, 0)","(0, 180, 0)","(155, 121, 8)","(155, 121, 8)",1.0,0.0
"(1, 181, 0)","(0, 181, 0)","(156, 122, 8)","(156, 122, 8)",1.0,0.0
"(1, 182, 0)","(0, 183, 0)","(157, 123, 8)","(157, 123, 8)",1.41421356237,0.0
"(1, 184, 0)","(0, 185, 0)","(159, 124, 8)","(159, 124, 8)",1.41421356237,0.0
"(1, 185, 0)","(0, 186, 0)","(160, 125, 8)","(160, 125, 8)",1.41421356237,0.0
"(1, 186, 0)","(0, 186, 0)","(160, 125, 8)","(160, 125, 8)",1.0,0.0
"(1, 187, 0)","(0, 187, 0)","(161, 126, 8)","(161, 126, 8)",1.0,0.0
"(1, 189, 0)","(0, 189, 0)","(163, 127, 8)","(163, 127, 8)",1.0,0.0
"(1, 190, 0)","(0, 190, 0)","(164, 128, 8)","(164, 128, 8)",1.0,0.0
"(1, 190, 0)","(0, 191, 0)","(164, 128, 8)","(164, 128, 8)",1.41421356237,0.0
"(1, 191, 0)","(0, 192, 0)","(165, 129, 8)","(165, 129, 8)",1.41421356237,0.0
"(1, 193, 0)","(0, 193, 0)","(166, 130, 8)","(166, 130, 8)",1.0,0.0
"(1, 195, 0)","(0, 195, 0)","(168, 131, 8)","(168, 131, 8)",1.0,0.0
"(1, 196, 0)","(0, 196, 0)","(169, 132, 8)","(169, 132, 8)",1.0,0.0
"(1, 200, 0)","(0, 200, 0)","(172, 135, 9)","(172, 135, 9)",1.0,0.0
"(1, 201, 0)","(0, 201, 0)","(173, 135, 9)","(173, 135, 9)",1.0,0.0
"(1, 202, 0)","(0, 202, 0)","(174, 136, 9)","(174, 136, 9)",1.0,0.0
"(1, 203, 0)","(0, 203, 0)","(175, 137, 9)","(175, 137, 9)",1.0,0.0
"(1, 204, 0)","(0, 204, 0)","(176, 137, 9)","(176, 137, 9)",1.0,0.0
"(1, 206, 0)","(0, 207, 0)","(178, 139, 9)","(178, 139, 9)",1.41421356237,0.0
"(1, 208, 0)","(0, 208, 0)","(179, 140, 9)","(179, 140, 9)",1.0,0.0
"(1, 209, 0)","(0, 209, 0)","(180, 141, 9)","(180, 141, 9)",1.0,0.0
"(1, 211, 0)","(0, 211, 0)","(182, 142, 9)","(182, 142, 9)",1.0,0.0
"(1, 212, 0)","(0, 213, 0)","(183, 143, 9)","(183, 143, 9)",1.41421356237,0.0
"(1, 213, 0)","(0, 214, 0)","(184, 144, 9)","(184, 144, 9)",1.41421356237,0.0
"(1, 215, 0)","(0, 215, 0)","(185, 145, 9)","(185, 145, 9)",1.0,0.0
"(1, 217, 0)","(0, 217, 0)","(187, 146, 9)","(187, 146, 9)",1.0,0.0
"(1, 218, 0)","(0, 218, 0)","(188, 147, 9)","(188, 147, 9)",1.0,0.0
"(1, 218, 0)","(0, 219, 0)","(188, 147, 9)","(188, 147, 9)",1.41421356237,0.0
"(1, 219, 0)","(0, 220, 0)","(189, 148, 9)","(189, 148, 9)",1.41421356237,0.0
"(1, 223, 0)","(0, 223, 0)","(192, 150, 10)","(192, 150, 10)",1.0,0.0
"(1, 224, 0)","(0, 224, 0)","(193, 151, 10)","(193, 151, 10)",1.0,0.0
"(1, 226, 0)","(0, 226, 0)","(195, 152, 10)","(195, 152, 10)",1.0,0.0
"(1, 227, 0)","(0, 228, 0)","(196, 153, 10)","(196, 153, 10)",1.41421356237,0.0
"(1, 228, 0)","(0, 229, 0)","(197, 154, 10)","(197, 154, 10)",1.41421356237,0.0
"(1, 229, 0)","(0, 229, 0)","(197, 154, 10)","(197, 154, 10)",1.0,0.0
"(1, 230, 0)","(0, 230, 0)","(198, 155, 10)","(198, 155, 10)",1.0,0.0
"(1, 232, 0)","(0, 232, 0)","(200, 156, 10)","(200, 156, 10)",1.0,0.0
"(1, 233, 0)","(0, 233, 0)","(201, 157, 10)","(201, 157, 10)",1.0,0.0
"(1, 233, 0)","(0, 234, 0)","(201, 157, 10)","(201, 157, 10)",1.41421356237,0.0
"(1, 234, 0)","(0, 235, 0)","(202, 158, 10)","(202, 158, 10)",1.41421356237,0.0
"(1, 236, 0)","(0, 236, 0)","(203, 159, 10)","(203, 159, 10)",1.0,0.0
"(1, 238, 0)","(0, 238, 0)","(205, 160, 10)","(205, 160, 10)",1.0,0.0
"(1, 239, 0)","(0, 239, 0)","(206, 161, 10)","(206, 161, 10)",1.0,0.0
"(1, 240, 0)","(0, 241, 0)","(207, 162, 10)","(207, 162, 10)",1.41421356237,0.0
"(1, 242, 0)","(0, 243, 0)","(209, 163, 10)","(209, 163, 10)",1.41421356237,0.0
"(1, 243, 0)","(0, 244, 0)","(210, 164, 10)","(210, 164, 10)",1.41421356237,0.0
"(1, 244, 0)","(0, 244, 0)","(210, 164, 10)","(210, 164, 10)",1.0,0.0
"(1, 245, 0)","(0, 245, 0)","(211, 165, 11)","(211, 165, 11)",1.0,0.0
"(1, 245, 0)","(0, 245, 1)","(211, 165, 11)","(211, 165, 11)",1.41421356237,0.0
"(1, 247, 0)","(0, 247, 0)","(213, 166, 11)","(213, 166, 11)",1.0,0.0
"(1, 248, 0)","(0, 249, 0)","(214, 167, 11)","(214, 167, 11)",1.41421356237,0.0
"(1, 249, 0)","(0, 250, 0)","(215, 168, 11)","(215, 168, 11)",1.41421356237,0.0
"(1, 251, 0)","(0, 251, 0)","(216, 169, 11)","(216, 169, 11)",1.0,0.0
"(1, 253, 0)","(0, 253, 0)","(218, 170, 11)","(218, 170, 11)",1.0,0.0
"(1, 254, 0)","(0, 254, 0)","(219, 171, 11)","(219, 171, 11)",1.0,0.0
"(1, 254, 0)","(0, 255, 0)","(219, 171, 11)","(219, 171, 11)",1.41421356237,0.0
"(2, 129, 0)","(0, 130, 0)","(112, 87, 6)","(112, 87, 6)",2.2360679775,0.0
"(2, 130, 0)","(0, 131, 0)","(113, 88, 6)","(113, 88, 6)",2.2360679775,0.0
"(2, 132, 0)","(0, 132, 0)","(114, 89, 6)","(114, 89, 6)",2.0,0.0
"(2, 132, 0)","(0, 133, 0)","(114, 89, 6)","(114, 89, 6)",2.2360679775,0.0
"(2, 133, 0)","(0, 134, 0)","(115, 90, 6)","(115, 90, 6)",2.2360679775,0.0
"(2, 134, 0)","(0, 135, 0)","(116, 91, 6)","(116, 91, 6)",2.2360679775,0.0
"(2, 135, 0)","(0, 136, 0)","(117, 91, 6)","(117, 91, 6)",2.2360679775,0.0
"(2, 136, 0)","(0, 137, 0)","(118, 92, 6)","(118, 92, 6)",2.2360679775,0.0
"(2, 137, 0)","(0, 138, 0)","(119, 93, 6)","(119, 93, 6)",2.2360679775,0.0
"(2, 138, 0)","(0, 139, 0)","(120, 93, 6)","(120, 93, 6)",2.2360679775,0.0
"(2, 139, 0)","(0, 140, 0)","(120, 94, 6)","(120, 94, 6)",2.2360679775,0.0
"(2, 140, 0)","(0, 141, 0)","(121, 95, 6)","(121, 95, 6)",2.2360679775,0.0
"(2, 141, 0)","(0, 142, 0)","(122, 95, 6)","(122, 95, 6)",2.2360679775,0.0
"(2, 142, 0)","(0, 143, 0)","(123, 96, 6)","(123, 96, 6)",2.2360679775,0.0
"(2, 143, 0)","(0, 144, 0)","(124, 97, 6)","(124, 97, 6)",2.2360679775,0.0
"(2, 145, 0)","(0, 146, 0)","(126, 98, 6)","(126, 98, 6)",2.2360679775,0.0
"(2, 147, 0)","(0, 147, 0)","(127, 99, 6)","(127, 99, 6)",2.0,0.0
"(2, 148, 0)","(0, 149, 0)","(128, 100, 6)","(128, 100, 6)",2.2360679775,0.0
"(2, 149, 0)","(0, 150, 0)","(129, 101, 6)","(129, 101, 6)",2.2360679775,0.0
"(2, 152, 0)","(0, 153, 0)","(132, 103, 7)","(132, 103, 7)",2.2360679775,0.0
"(2, 153, 0)","(0, 153, 0)","(132, 103, 7)","(132, 103, 7)",2.0,0.0
