color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 0, 128)","(1, 0, 128)","(0, 13, 135)","(0, 13, 135)",1.0,0.0
"(0, 0, 128)","(2, 0, 128)","(0, 13, 135)","(0, 13, 135)",2.0,0.0
"(0, 0, 128)","(3, 0, 128)","(0, 13, 135)","(0, 13, 135)",3.0,0.0
"(0, 0, 128)","(4, 0, 128)","(0, 13, 135)","(0, 13, 135)",4.0,0.0
"(0, 0, 128)","(5, 0, 128)","(0, 13, 135)","(0, 13, 135)",5.0,0.0
"(0, 0, 128)","(6, 0, 128)","(0, 13, 135)","(0, 13, 135)",6.0,0.0
"(0, 0, 129)","(1, 0, 129)","(0, 13, 136)","(0, 13, 136)",1.0,0.0
"(0, 0, 129)","(2, 0, 129)","(0, 13, 136)","(0, 13, 136)",2.0,0.0
"(0, 0, 129)","(3, 0, 129)","(0, 13, 136)","(0, 13, 136)",3.0,0.0
"(0, 0, 129)","(4, 0, 129)","(0, 13, 136)","(0, 13, 136)",4.0,0.0
"(0, 0, 129)","(5, 0, 129)","(0, 13, 136)","(0, 13, 136)",5.0,0.0
"(0, 0, 129)","(6, 0, 129)","(0, 13, 136)","(0, 13, 136)",6.0,0.0
"(0, 0, 130)","(1, 0, 130)","(0, 13, 137)","(0, 13, 137)",1.0,0.0
"(0, 0, 130)","(2, 0, 130)","(0, 13, 137)","(0, 13, 137)",2.0,0.0
"(0, 0, 130)","(3, 0, 130)","(0, 13, 137)","(0, 13, 137)",3.0,0.0
"(0, 0, 130)","(4, 0, 130)","(0, 13, 137)","(0, 13, 137)",4.0,0.0
"(0, 0, 130)","(5, 0, 130)","(0, 13, 137)","(0, 13, 137)",5.0,0.0
"(0, 0, 131)","(1, 0, 131)","(0, 13, 138)","(0, 13, 138)",1.0,0.0
"(0, 0, 131)","(2, 0, 131)","(0, 13, 138)","(0, 13, 138)",2.0,0.0
"(0, 0, 131)","(3, 0, 131)","(0, 13, 138)","(0, 13, 138)",3.0,0.0
"(0, 0, 131)","(4, 0, 131)","(0, 13, 138)","(0, 13, 138)",4.0,0.0
"(0, 0, 132)","(1, 0, 132)","(0, 13, 139)","(0, 13, 139)",1.0,0.0
"(0, 0, 132)","(2, 0, 132)","(0, 13, 139)","(0, 13, 139)",2.0,0.0
