color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 0, 128)","(0, 0, 129)","(0, 19, 39)","(0, 19, 39)",1.0,0.0
"(0, 0, 128)","(1, 0, 128)","(0, 19, 39)","(0, 19, 39)",1.0,0.0
"(0, 0, 128)","(1, 0, 129)","(0, 19, 39)","(0, 19, 39)",1.41421356237,0.0
"(0, 0, 128)","(2, 0, 128)","(0, 19, 39)","(0, 19, 39)",2.0,0.0
"(0, 0, 128)","(2, 0, 129)","(0, 19, 39)","(0, 19, 39)",2.2360679775,0.0
"(0, 0, 128)","(3, 0, 128)","(0, 19, 39)","(0, 19, 39)",3.0,0.0
"(0, 0, 128)","(3, 0, 129)","(0, 19, 39)","(0, 19, 39)",3.16227766017,0.0
"(0, 0, 128)","(4, 0, 128)","(0, 19, 39)","(0, 19, 39)",4.0,0.0
"(0, 0, 128)","(4, 0, 129)","(0, 19, 39)","(0, 19, 39)",4.12310562562,0.0
"(0, 0, 128)","(5, 0, 128)","(0, 19, 39)","(0, 19, 39)",5.0,0.0
"(0, 0, 128)","(5, 0, 129)","(0, 19, 39)","(0, 19, 39)",5.09901951359,0.0
"(0, 0, 128)","(6, 0, 129)","(0, 19, 39)","(0, 19, 39)",6.0827625303,0.0
"(0, 0, 129)","(0, 0, 128)","(0, 19, 39)","(0, 19, 39)",1.0,0.0
"(0, 0, 129)","(1, 0, 128)","(0, 19, 39)","(0, 19, 39)",1.41421356237,0.0
"(0, 0, 129)","(1, 0, 129)","(0, 19, 39)","(0, 19, 39)",1.0,0.0
"(0, 0, 129)","(2, 0, 128)","(0, 19, 39)","(0, 19, 39)",2.2360679775,0.0
"(0, 0, 129)","(2, 0, 129)","(0, 19, 39)","(0, 19, 39)",2.0,0.0
"(0, 0, 129)","(3, 0, 128)","(0, 19, 39)","(0, 19, 39)",3.16227766017,0.0
"(0, 0, 129)","(3, 0, 129)","(0, 19, 39)","(0, 19, 39)",3.0,0.0
"(0, 0, 129)","(4, 0, 128)","(0, 19, 39)","(0, 19, 39)",4.12310562562,0.0
"(0, 0, 129)","(4, 0, 129)","(0, 19, 39)","(0, 19, 39)",4.0,0.0
"(0, 0, 129)","(5, 0, 128)","(0, 19, 39)","(0, 19, 39)",5.09901951359,0.0
"(0, 0, 129)","(5, 0, 129)","(0, 19, 39)","(0, 19, 39)",5.0,0.0
"(0, 0, 129)","(6, 0, 129)","(0, 19, 39)","(0, 19, 39)",6.0,0.0
"(0, 0, 130)","(0, 0, 131)","(0, 19, 40)","(0, 19, 40)",1.0,0.0
"(0, 0, 130)","(0, 0, 132)","(0, 19, 40)","(0, 19, 40)",2.0,0.0
"(0, 0, 130)","(1, 0, 130)","(0, 19, 40)","(0, 19, 40)",1.0,0.0
"(0, 0, 130)","(1, 0, 131)","(0, 19, 40)","(0, 19, 40)",1.41421356237,0.0
"(0, 0, 130)","(1, 0, 132)","(0, 19, 40)","(0, 19, 40)",2.2360679775,0.0
"(0, 0, 130)","(2, 0, 130)","(0, 19, 40)","(0, 19, 40)",2.0,0.0
"(0, 0, 130)","(2, 0, 131)","(0, 19, 40)","(0, 19, 40)",2.2360679775,0.0
"(0, 0, 130)","(2, 0, 132)","(0, 19, 40)","(0, 19, 40)",2.82842712475,0.0
"(0, 0, 130)","(2, 0, 133)","(0, 19, 40)","(0, 19, 40)",3.60555127546,0.0
"(0, 0, 130)","(3, 0, 130)","(0, 19, 40)","(0, 19, 40)",3.0,0.0
"(0, 0, 130)","(3, 0, 131)","(0, 19, 40)","(0, 19, 40)",3.16227766017,0.0
"(0, 0, 130)","(3, 0, 132)","(0, 19, 40)","(0, 19, 40)",3.60555127546,0.0
"(0, 0, 130)","(3, 0, 133)","(0, 19, 40)","(0, 19, 40)",4.24264068712,0.0
